gene_id,SRR35049344,SRR35049350,SRR35049353,SRR35049354,SRR35049360,SRR35049363
MSTRG.344|FBXO6,142,7,20,211,18,15
MSTRG.343,0,0,1200,458,379,2903
MSTRG.345|DRAXIN,1018,343,2673,667,301,1699
MSTRG.346,0,0,0,0,0,0
MSTRG.355|NPPB,50,0,0,114,25,9
MSTRG.356,47,57,47,55,56,58
MSTRG.358|KIAA2013,1803,1061,2154,2198,1710,2738
MSTRG.356|RNU5E-1,1,24,8,4,2,27
MSTRG.357|RNU5E-4P,2,14,3,0,1,3
MSTRG.348|AGTRAP,661,444,534,831,876,1186
MSTRG.349|C1orf167,3,9,3,0,12,21
MSTRG.350|C1orf167-AS1,0,0,0,0,6,0
MSTRG.351|MTHFR,42,317,15,65,72,570
MSTRG.352|CLCN6,90,878,215,776,1044,607
MSTRG.354|NPPA,2,21,0,0,0,12
MSTRG.352,1319,944,457,25,34,71
MSTRG.347,5,14,9,27,1,31
MSTRG.348,165,99,180,0,111,388
MSTRG.351,1411,1315,664,1932,979,56
MSTRG.353,35,44,0,33,8,21
MSTRG.359|PLOD1,2884,1961,2327,4933,2722,1610
ENSG00000301863,0,0,0,0,0,0
ENSG00000283789|MIR7846,0,0,0,0,0,1
ENSG00000028137|TNFRSF1B,16,0,31,32,0,49
ENSG00000296888,0,0,0,0,0,0
ENSG00000263676|MIR4632,0,0,0,0,0,0
MSTRG.361|MFN2,3242,2479,3526,3474,2067,1994
MSTRG.361,0,0,900,0,0,649
ENSG00000270914,0,0,0,0,0,0
MSTRG.362|MIIP,377,1116,603,501,1218,1056
MSTRG.362|MIR6729,0,4,0,0,0,1
MSTRG.360,2,0,0,0,0,2
MSTRG.363|Y_RNA,8,11,10,5,3,7
ENSG00000116726|PRAMEF12,0,0,0,6,0,0
MSTRG.370|DHRS3,832,80,447,2000,294,454
MSTRG.371|RNU6ATAC18P,0,0,0,1,0,1
MSTRG.372,0,2,0,0,0,3
MSTRG.373,33,9,25,78,12,42
MSTRG.370,72,0,0,0,0,0
MSTRG.370|MIR6730,2,0,2,7,0,3
MSTRG.374,3,2,0,14,2,5
ENSG00000116721|PRAMEF1,0,0,0,0,0,0
MSTRG.375|CFAP107,23,0,0,19,0,0
MSTRG.375,132,0,0,0,0,0
ENSG00000179172|HNRNPCL1,0,0,6,2,4,0
ENSG00000277862|PRAMEF34P,0,0,0,2,0,0
ENSG00000290772|PRAMEF36P,0,0,0,2,0,0
ENSG00000229978|PRAMEF36P,0,0,0,0,0,0
MSTRG.368|VPS13D,2700,371,2127,2405,1762,961
MSTRG.368,28,2277,29,182,49,123
MSTRG.369,4,3,6,0,0,8
MSTRG.368|SNORA59A,36,1,4,2,2,18
MSTRG.377,19,0,9,2,0,0
ENSG00000237445,0,0,0,0,0,0
ENSG00000295237,1,0,0,0,0,0
MSTRG.376|PDPN,2438,148,4759,2726,184,3892
MSTRG.376,74,78,459,65,0,236
MSTRG.378|PRDM2,1167,1525,631,790,917,728
MSTRG.378,2434,0,939,2637,266,453
MSTRG.379,6,9,12,11,10,6
MSTRG.395|FHAD1,212,41,49,18,46,10
MSTRG.396|EFHD2-AS1,30,29,5,16,11,12
MSTRG.397|FHAD1-AS1,0,7,2,0,0,3
MSTRG.398,0,0,0,0,0,5
MSTRG.399|EFHD2,1359,1445,588,1822,1794,721
ENSG00000235084|CHCHD2P6,6,2,9,4,9,5
MSTRG.400|CELA2A,0,0,0,0,0,0
MSTRG.400|CELA2B,0,0,0,0,3,0
